id,name,rankk,pod,dod,image,,,,,,
,Jonas B. Kelsall,Lieutenant Commander (SEAL),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Jonas-B-Kelsall.jpg,,,,,,
,Louis Langlais,Master Chief Special Warfare Operator (SEAL),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Louis-Langlais.jpg,,,,,,
,Matthew D. Mason,Chief Special Warfare Operator (SEAL),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2011/08/Mather-D-Mason.jpg,,,,,,
,Stephen M. Mills,Chief Special Warfare Operator (SEAL),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2011/08/Stephen-M-Mills.jpg,,,,,,
,Nicholas H. Null,Chief Explosive Ordnance Disposal Technician (EOD),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2011/08/Nicholas-Null.jpg,,,,,,
,Jesse D. Pittman,Special Warfare Operator 1st Class (SEAL),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Jesse-D-Pittman.jpg,,,,,,
,Thomas A. Ratzlaff,Senior Chief Special Warfare Operator (SEAL),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2011/08/Thomas-A-Ratzlaff.jpg,,,,,,
,Robert J. Reeves,Chief Special Warfare Operator (SEAL),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2011/08/Robert-J-Reeves.jpg,,,,,,
,Heath M. Robinson,Senior Chief Special Warfare Operator (SEAL),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2011/08/Heath-Robinson.jpg,,,,,,
,Nicholas P. Spehar,Special Warfare Operator 2nd Class (SEAL),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Nicholas-P-Spehar.jpg,,,,,,
,Michael J. Strange,Cryptologic Technician Collections 1st Class (TECH),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2011/08/Michael-J-Strange.jpg,,,,,,
,Jon T. Tumilson,Chief Special Warfare Operator (SEAL),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2011/08/Jon-Tumilson.jpg,,,,,,
,Aaron C. Vaughn,Chief Special Warfare Operator (SEAL),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Aaron-C-Vaughn.jpg,,,,,,
,Kraig M. K. Vickers,Senior Chief Explosive Ordnance Disposal Technician (EOD),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2011/08/kraig-vickers.jpg,,,,,,
,Jason R. Workman,Chief Special Warfare Operator (SEAL),Afghanistan,6-Aug-11,https://www.navysealfoundation.org/wp-content/uploads/2011/08/Jason-Workman.jpg,,,,,,
,Brendan J. Looney,Lieutenant (SEAL),Afghanistan,21-Sep-10,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Brendan-J-Looney.jpg,,,,,,
,David B. McLendon,Senior Chief Cryptologic Technician Collections (TECH),Afghanistan,21-Sep-10,https://www.navysealfoundation.org/wp-content/uploads/2010/09/David-Mclendon.jpg,,,,,,
,Denis C. Miranda,Special Warfare Operator 3rd Class (SEAL),Afghanistan,21-Sep-10,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Denis-C-Miranda-1.jpg,,,,,,
,Adam O. Smith,Special Warfare Operator 2nd Class (SEAL),Afghanistan,21-Sep-10,https://www.navysealfoundation.org/wp-content/uploads/2010/09/Adam-O-Smith.jpg,,,,,,
,Collin T. Thomas,Chief Special Warfare Operator (SEAL),Afghanistan,18-Aug-10,https://www.navysealfoundation.org/wp-content/uploads/2019/05/Collin-Thomas.jpg,,,,,,
,Adam L. Brown,Chief Special Warfare Operator (SEAL),Afghanistan,17-Mar-10,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Adam-L-Brown-1.jpg,,,,,,
,Tyler J. Trahan,Explosive Ordnance Disposal Technician 2nd Class (EOD),Iraq,30-Apr-09,https://www.navysealfoundation.org/wp-content/uploads/2009/04/Tyler-Trahan.jpg,,,,,,
,Jason R. Freiwald,Chief Special Warfare Operator (SEAL),Afghanistan,11-Sep-08,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Jason-R-Freiwald.jpg,,,,,,
,John W. Marcum,Senior Chief Special Warfare Operator (SEAL),Afghanistan,11-Sep-08,https://www.navysealfoundation.org/wp-content/uploads/2008/09/Marcum.jpg,,,,,,
,Joshua T. Harris,Special Warfare Operator 1st Class (SEAL),Afghanistan,30-Aug-08,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Joshua-T-Harris.jpg,,,,,,
,Luis A. Souffront,Explosive Ordnance Disposal Technician 1st Class (EOD),Iraq,7-Feb-08,https://www.navysealfoundation.org/wp-content/uploads/2008/02/Louis-Souffront.jpg,,,,,,
,Michael E. Koch,Chief Special Warfare Operator (SEAL),Iraq,4-Feb-08,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Michael-E-Koch.jpg,,,,,,
,Nathan H. Hardy,Chief Special Warfare Operator (SEAL),Iraq,4-Feb-08,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Nathan-H-Hardy.jpg,,,,,,
,Mark T. Carter,Chief Special Warfare Operator (SEAL),Iraq,11-Dec-07,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Mark-T-Carter.jpg,,,,,,
,Steven P. Daugherty,Cryptologic Technician Technical 1st Class (TECH),Iraq,6-Jul-07,https://www.navysealfoundation.org/wp-content/uploads/2007/07/STEVEN-P-DAUGHERTY.jpg,,,,,,
,Jason D. Lewis,Special Warfare Operator 1st Class (SEAL),Iraq,6-Jul-07,https://www.navysealfoundation.org/wp-content/uploads/2007/07/Jason-D-Lewis.jpg,,,,,,
,Robert R. McRill,Mass Communications Specialist 1st Class (TECH),Iraq,6-Jul-07,https://www.navysealfoundation.org/wp-content/uploads/2007/07/Robert-McRill.jpg,,,,,,
,Joseph C. Schwedler,Special Warfare Operator 2nd Class (SEAL),Iraq,6-Apr-07,https://www.navysealfoundation.org/wp-content/uploads/2007/04/Joseph-Schwedler.jpg,,,,,,
,Michael A. Monsoor,Master at Arms 2nd Class (SEAL),Iraq,29-Sep-06,https://www.navysealfoundation.org/wp-content/uploads/2016/08/Michael-Monsoor.jpg,,,,,,
,Marc A. Lee,Aviation Ordnanceman 2nd Class (SEAL),Iraq,2-Aug-06,https://www.navysealfoundation.org/wp-content/uploads/2006/08/Marc-A-Lee.jpg,,,,,,
,James E. Suh,Quartermaster 2nd Class (SEAL),Afghanistan,28-Jun-05,https://www.navysealfoundation.org/wp-content/uploads/2005/06/James-Suh.jpg,,,,,,
,Shane E. Patton,Machinist Mate 2nd Class (SEAL),Afghanistan,28-Jun-05,https://www.navysealfoundation.org/wp-content/uploads/2005/06/shane-patton.jpg,,,,,,
,Daniel R. Healy,Senior Chief Information Systems Technician (SEAL),Afghanistan,28-Jun-05,https://www.navysealfoundation.org/wp-content/uploads/2016/06/Daniel-R-Healy.jpg,,,,,,
,Michael P. Murphy,Lieutenant (SEAL),Afghanistan,28-Jun-05,https://www.navysealfoundation.org/wp-content/uploads/2005/06/Michael-P-Murphy.jpg,,,,,,
,"Michael M. McGreevy Jr.",Lieutenant (SEAL),Afghanistan,28-Jun-05,https://www.navysealfoundation.org/wp-content/uploads/2005/06/Michael-M-McGreevy.jpg,,,,,,
,Jeffrey S. Taylor,Hospital Corpsman 1st Class (SEAL),Afghanistan,28-Jun-05,https://www.navysealfoundation.org/wp-content/uploads/2005/06/Jeffrey-Taylor.jpg,,,,,,
,Jeffrey A. Lucas,Electronics Technician 1st Class (SEAL),Afghanistan,28-Jun-05,https://www.navysealfoundation.org/wp-content/uploads/2005/06/Lucas.jpg,,,,,,
,Erik S. Kristensen,Lieutenant Commander (SEAL),Afghanistan,28-Jun-05,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Erik-S-Kristensen.jpg,,,,,,
,Jacques J. Fontan,Chief Fire Controlman (SEAL),Afghanistan,28-Jun-05,https://www.navysealfoundation.org/wp-content/uploads/2005/06/Jacques-J-Fontan.jpg,,,,,,
,"Danny P. Dietz, Jr.",Gunner's Mate 2nd Class (SEAL),Afghanistan,28-Jun-05,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Danny-Dietz.jpg,,,,,,
,Matthew G. Axelson,Sonar Technician Surface 2nd Class (SEAL),Afghanistan,28-Jun-05,https://www.navysealfoundation.org/wp-content/uploads/2005/06/Matt-Axelson.jpg,,,,,,
,Brian J. Ouellette,Boatswain's Mate 1st Class (SEAL),Afghanistan,29-May-04,https://www.navysealfoundation.org/wp-content/uploads/2004/05/Brian-J-OUELLETTE.jpg,,,,,,
,David M. Tapper,Photographer's Mate 1st Class (SEAL),Afghanistan,20-Aug-03,https://www.navysealfoundation.org/wp-content/uploads/2003/08/David-Tapper.jpg,,,,,,
,Thomas E. Retzer,Internal Communications Specialist 1st Class (SEAL),Afghanistan,26-Jun-03,https://www.navysealfoundation.org/wp-content/uploads/2003/06/Thomas-Retzer.jpg,,,,,,
,Matthew J. Bourgeois,Chief Hospital Corpsman (SEAL),Afghanistan,27-Mar-02,https://www.navysealfoundation.org/wp-content/uploads/2002/03/Matthew-J-Bourgeois.jpg,,,,,,
,Neil C. Roberts,Aviation Boatswain’s Mate 1st Class (SEAL),Afghanistan,4-Mar-02,https://www.navysealfoundation.org/wp-content/uploads/2002/03/Neil-Roberts.jpg,,,,,,
,Remington J. Peters,Special Warfare Operator 1st Class (SEAL),,28-May-17,https://www.navysealfoundation.org/wp-content/uploads/2017/06/Remington-J.-Peters.jpg,,,,,,
,James Derek Lovelace,Seaman,,6-May-16,https://www.navysealfoundation.org/wp-content/uploads/2016/08/lovelace.jpg,,,,,,
,Jason D. Kortz,Special Warfare Operator 3rd Class (SEAL),,18-Mar-15,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Jason-D-Kortz.jpg,,,,,,
,William B. Marston,Special Warfare Operator 1st Class (SEAL),,10-Jan-15,https://www.navysealfoundation.org/wp-content/uploads/2019/05/Blake-Marston.jpg,,,,,,
,Bradley S. Cavner,Chief Special Warfare Operator (SEAL),,23-Jun-14,https://www.navysealfoundation.org/wp-content/uploads/2014/06/Bradley-Cavner.jpg,,,,,,
,Jonathan H. Kaloust,Special Warfare Operator 3rd Class (SEAL),,15-May-13,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Jonathan-H-Kaloust.png,,,,,,
,Brett D. Shadle,Chief Special Warfare Operator (SEAL),,28-Mar-13,https://www.navysealfoundation.org/wp-content/uploads/2013/03/Brett-Shadle.jpg,,,,,,
,Matthew J. Leathers,Special Warfare Operator 1st Class (SEAL),,19-Feb-13,https://www.navysealfoundation.org/wp-content/uploads/2013/02/Leathers.jpg,,,,,,
,Thomas C. Fouke,Lieutenant (TECH),,17-Jan-12,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Thomas-C-Fouke.jpg,,,,,,
,Tyler S. Stimson,Special Warfare Operator 1st Class (SEAL),,16-Jul-10,https://www.navysealfoundation.org/wp-content/uploads/2010/07/Tyler-Stimson.jpg,,,,,,
,Ronald T. Woodle,Special Warfare Operator 2nd Class (SEAL),,16-Feb-10,https://www.navysealfoundation.org/wp-content/uploads/2010/02/Ron-Woodle.jpg,,,,,,
,Andrew J. Lightner,Aircrew Survival Equipmentman 1st Class (TECH),,18-Jun-09,https://www.navysealfoundation.org/wp-content/uploads/2009/06/Andrew-Lightner.jpg,,,,,,
,Eric F. Shellenberger,Chief Special Warfare Operator (SEAL),,7-May-09,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Eric-F-Shellenberger.jpg,,,,,,
,Lance M. Vaccaro,Chief Special Warfare Operator (SEAL),,6-Mar-08,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Lance-M-Vaccaro.jpg,,,,,,
,Thomas J. Valentine,Senior Chief Special Warfare Operator (SEAL),,13-Feb-08,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Thomas-J-Valentine.jpg,,,,,,
,Shapoor A. Ghane,Special Warfare Operator 2nd Class (SEAL),,30-Jan-08,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Shapoor-A-Ghane.jpg,,,,,,
,Freddie N. Porter,Storekeeper Seaman (TECH),,11-Oct-07,https://www.navysealfoundation.org/wp-content/uploads/2007/10/Freddy-Porter.jpg,,,,,,
,Luis M. Gutierrez,Chief Engineman (TECH),,30-Jan-06,https://www.navysealfoundation.org/wp-content/themes/nsf/images/memoriam-logo.jpg,,,,,,
,Theodore D. Fitzhenry,Senior Chief Corpsman (SEAL),,15-Jun-04,https://www.navysealfoundation.org/wp-content/uploads/2016/06/Theodore-D-Fitzhenry.jpg,,,,,,
,Robert P. Vetter,Boatswain's Mate 1st Class (SWCC),,29-Feb-04,https://www.navysealfoundation.org/wp-content/uploads/2019/05/Robert-Vetter.jpg,,,,,,
,Mario G. Maestas,Information Systems Technician 2nd Class (SEAL),,3-Jul-03,https://www.navysealfoundation.org/wp-content/uploads/2003/03/Mario-Maestas.jpg,,,,,,
,Peter G. Oswald,Commander (SEAL),,27-Aug-02,https://www.navysealfoundation.org/wp-content/uploads/2002/08/Oswald.jpg,,,,,,
,Jason Stanley Huber,Chief Special Warfare Boat Operator (SWCC),,18-Oct-19,https://www.navysealfoundation.org/wp-content/uploads/2020/05/Jason-Stanley-Huber.jpg,,,,,,
,David Metcalf,Lieutenant Junior Grade (SEAL),"Camp Lejeune",2-Jan-19,https://www.navysealfoundation.org/wp-content/uploads/2019/02/David-Metcalf.jpg,,,,,,
,Chad Michael Wilkinson,Senior Chief Special Warfare Operator (SEAL),"Virginia Beach",29-Oct-18,https://www.navysealfoundation.org/wp-content/uploads/2018/10/chad-wilkinson.jpg,,,,,,
,Justin William Pegg,Special Warfare Operator 3rd Class (SEAL),"Virginia Beach",17-May-18,https://www.navysealfoundation.org/wp-content/uploads/2019/01/Justin-Pegg-1.jpg,,,,,,
,Eduardo Valadez,Chief Special Warfare Operator (SEAL),Hawaii,19-Dec-17,https://www.navysealfoundation.org/wp-content/uploads/2017/12/EDUARDO-VALADEZ-.jpg,,,,,,
,Mark Weiss,Lieutenant (SEAL),Tanzania,11-Nov-17,https://www.navysealfoundation.org/wp-content/uploads/2017/11/Mark-Weiss-1.jpg,,,,,,
,Seth Anthony Stone,Commander (SEAL),"Perris, CA",30-Sep-17,https://www.navysealfoundation.org/wp-content/uploads/2017/11/Seth-Anthony-Stone-1.jpg,,,,,,
,Leslie A. Bruner,Senior Chief Cryptologic Technician Collections (TECH),"Virginia Beach",7-Aug-17,https://www.navysealfoundation.org/wp-content/uploads/2017/11/Leslie.jpg,,,,,,
,Steven A. Wilcox,Intelligence Specialist 1st Class (TECH),Hawaii,3-Jul-17,https://www.navysealfoundation.org/wp-content/uploads/2017/07/Steven_A_Wilcox.jpg,,,,,,
,James Celani,Lieutenant Commander (TECH),San Diego,10-Jun-17,https://www.navysealfoundation.org/wp-content/uploads/2017/06/James_Celani.jpg,,,,,,
,William Matthew Weinrich,Petty Officer 1st Class (TECH),,5-Apr-17,https://www.navysealfoundation.org/wp-content/uploads/2017/04/William-Matthew-Weinrich.jpg,,,,,,
,Devon J. Grube,Special Warfare Operator 1st Class (SEAL),Virginia Beach,28-Dec-16,https://www.navysealfoundation.org/wp-content/uploads/2016/12/Devon-Grube.jpg,,,,,,
,"Jesse Ervin Ready Jr.",Lieutenant (TECH),Mississippi,11-Jan-16,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Jesse-E-Ready.jpg,,,,,,
,Michael Wesley Rodman,Senior Chief Aviation Electronics Technician (TECH),Virginia Beach,28-Oct-15,https://www.navysealfoundation.org/wp-content/uploads/2019/05/M.-Rodman.jpg,,,,,,
,Bryan Christopher Beiriger,Master Chief Special Warfare Operator (SEAL),San Diego,23-Oct-15,https://www.navysealfoundation.org/wp-content/uploads/2015/10/Beiriger.jpg,,,,,,
,Travis Haire,Lieutenant Commander (Tech),Hawaii,9-Oct-15,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Travis-Haire.jpg,,,,,,
,Nathan Hall,Logistics Specialist First Class (Tech),Virginia,19-Jun-15,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Nathan-Hall.jpg,,,,,,
,Zacharias Edward Buob,Chief Special Warfare Boat Operator (SWCC),San Diego,28-May-15,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Zacharias-E-Boub.jpg,,,,,,
,"Cary Louis Kaminski Jr.",Chief Engineman (TECH),Mississippi,23-May-15,https://www.navysealfoundation.org/wp-content/themes/nsf/images/memoriam-logo.jpg,,,,,,
,Ryan Daniel Burris,Electronics Technician 2nd Class (TECH),Abu Dhabi,21-May-15,https://www.navysealfoundation.org/wp-content/uploads/2015/05/Ryan-D-Burris.jpg,,,,,,
,Brett A. Marihugh,Special Warfare Operator 1st Class (SEAL),Virginia Beach,26-Apr-15,https://www.navysealfoundation.org/wp-content/uploads/2015/04/Brett-Marihugh-1.jpg,,,,,,
,Seth C. Lewis,Special Warfare Operator 1st Class (SEAL),Virginia Beach,24-Apr-15,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Seth-C-Lewis.jpg,,,,,,
,Evan Hunter Lederer,Construction Mechanic 3rd Class (TECH),Mississippi,18-Nov-14,https://www.navysealfoundation.org/wp-content/uploads/2019/05/Evan-Lederer.jpg,,,,,,
,David A. Fegyo,Chief Special Warfare Operator (SEAL),Virginia,5-Oct-14,https://www.navysealfoundation.org/wp-content/uploads/2016/07/David-A-Fegyo.png,,,,,,
,Gary M. Garbers,Chief Warrant Officer (SEAL),California,24-Aug-13,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Gary-M-Garber.png,,,,,,
,FLORENCIO LACANLALE PARAYNO,Chief Logistics Specialist (TECH),San Diego,7-Mar-13,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Florencio-L-Paranyo.png,,,,,,
,Job W. Price,Commander (SEAL),Afghanistan,22-Dec-12,https://www.navysealfoundation.org/wp-content/uploads/2012/12/Price.jpg,,,,,,
,Daniel Jacob Hubman,Special Warfare Operator 2nd Class (SEAL),"Virginia Beach, VA",12-Oct-12,https://www.navysealfoundation.org/wp-content/themes/nsf/images/memoriam-logo.jpg,,,,,,
,Dion R. Roberts,Gunner's Mate 2nd Class (TECH),Afghanistan,22-Sep-12,https://www.navysealfoundation.org/wp-content/uploads/2016/08/Dion-Roberts.jpg,,,,,,
,James Michael Curran,Builder Seaman 3rd Class (TECH),"Virginia Beach, VA",15-Apr-12,https://www.navysealfoundation.org/wp-content/uploads/2016/07/James-M-Curran.jpg,,,,,,
,"Gene “Geno” Clayton Jr.",Special Warfare Officer 3rd Class (SEAL),California,5-Jan-12,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Gene-Clayton-Jr.jpg,,,,,,
,Michael Rex Tatham,Chief Special Warfare Operator (SEAL),Indonesia,12-Oct-11,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Michael-R-Tatham.jpg,,,,,,
,Robert Andrew “Gus” Kaminski,Commander (SEAL),San Diego,27-May-11,https://www.navysealfoundation.org/wp-content/uploads/2011/05/Gus-Kaminski.jpg,,,,,,
,Anthony J. Lembo,Special Warfare Boat Operator 1st Class ( SWCC),Virginia Beach,8-Nov-10,https://www.navysealfoundation.org/wp-content/uploads/2016/07/Anthony-J-Lembo.jpg,,,,,,
,Jeremy Allan Crow,Senior Chief Special Warfare Boat Operator (SWCC),Virginia,15-Feb-10,https://www.navysealfoundation.org/wp-content/uploads/2010/02/jeremy-crow.jpg,,,,,,
,Kenneth Owens,Navy Diver 2nd Class (TECH),Honolulu,12-Oct-09,https://www.navysealfoundation.org/wp-content/uploads/2009/10/ken.jpg,,,,,,
,Ryan C. Job,Special Warfare Operator 2nd Class (SEAL),,24-Sep-09,https://www.navysealfoundation.org/wp-content/uploads/2009/10/Job.jpg,,,,,,
,Sean Michael Flynn,Chief Special Warfare Operator (SEAL),Virginia Beach,1-Feb-09,https://www.navysealfoundation.org/wp-content/uploads/2016/09/Sean-Michael-Flynn.jpg,,,,,,
,Shawn Mann,Chief Special Warfare Operator (SEAL),California,1-Jan-09,https://www.navysealfoundation.org/wp-content/uploads/2016/06/Shawn-Mann.jpg,,,,,,
,Kyle Paulson,Gunners Mate 2nd Class (SEAL),,13-Apr-08,https://www.navysealfoundation.org/wp-content/themes/nsf/images/memoriam-logo.jpg,,,,,,
,Jeffrey P. Blish,Special Warfare Boat Operator 2nd Class (SWCC),San Diego,16-Dec-06,https://www.navysealfoundation.org/wp-content/uploads/2006/12/Blish.jpg,,,,,,
,Michael Bell,Special Warfare Operator 2nd Class (SEAL),,12-Apr-06,https://www.navysealfoundation.org/wp-content/uploads/2018/04/Mike-Bell.jpg,,,,,,
,Van Andrew Wilson,ENSIGN (SEAL),"Deming",26-Jan-06,https://www.navysealfoundation.org/wp-content/uploads/2020/04/Van-Andrew-Wilson.jpg,,,,,,
,"Cletus Wayne Doyle Jr.",Special Warfare Boat Operator 2nd Class (SWCC),Mississippi,20-Oct-05,https://www.navysealfoundation.org/wp-content/uploads/2005/10/Cletus-Doyle.jpg,,,,,,
,Scott Walker Shaw,Gunners Mate 1st Class (TECH),,27-Jul-05,https://www.navysealfoundation.org/wp-content/uploads/2005/07/Scott-Walker-Shaw.jpg,,,,,,
,Michael Lawrence Doyle,Information Systems Technician 1st Class (TECH),Mississippi,20-Nov-04,https://www.navysealfoundation.org/wp-content/uploads/2004/11/Michael-L.-Doyle.jpg,,,,,,
,Scott Edward Groeschner,Lieutenant Commander (SEAL),Ukraine,12-Nov-04,https://www.navysealfoundation.org/wp-content/uploads/2004/11/Scott.jpg,,,,,,
,"Jerry O. Pope, II",Ensign (SEAL),Yemen,17-Oct-02,https://www.navysealfoundation.org/wp-content/uploads/2002/10/Pope.jpg,,,,,,
,Ryan Francis Larkin,Special Warfare Operator 1st Class (SEAL),,23-Apr-17,https://www.navysealfoundation.org/wp-content/uploads/2018/03/Ryan-Larkin.jpg,,,,,,
,Mark Justin Minor,SEAL,,25-Dec-16,https://www.navysealfoundation.org/wp-content/uploads/2018/03/Mark-Justin-Minor.jpg,,,,,,
,Daniel DelBianco,Seaman,Coronado,5-Apr-16,https://www.navysealfoundation.org/wp-content/uploads/2016/04/Daniel-DelBianco-1.jpg,,,,,,
,Caplen Weare,Master at Arms 2nd Class (TECH),California,15-Nov-15,https://www.navysealfoundation.org/wp-content/uploads/2015/11/Caplan.jpg,,,,,,
,Linkon Charles Bashew,Special Warfare Operator 1st Class (SEAL),,3-Aug-14,https://www.navysealfoundation.org/wp-content/uploads/2014/08/Linkon.jpg,,,,,,
,David M. Collins,Chief Special Warfare Operator (SEAL),,12-Mar-14,https://www.navysealfoundation.org/wp-content/uploads/2014/03/David-M-Collins.jpg,,,,,,
,"Robert Bryan Guzzo Jr.",Special Warfare Operator 2nd Class (SEAL),,12-Nov-12,https://www.navysealfoundation.org/wp-content/uploads/2012/11/Guzzo.jpg,,,,,,
,David Wayne LaConte,Senior Chief Special Warfare Operator (SEAL),Afghanistan,13-Nov-09,https://www.navysealfoundation.org/wp-content/uploads/2009/11/Laconte.jpg,,,,,,
,Mark Barry Metherell,Sonar Technician Surface 2nd Class (SEAL),"Iraq",11-Apr-08,https://www.navysealfoundation.org/wp-content/uploads/2017/08/Mark-Barry-Metherell.jpg,,,,,,
,Richard Allen Bruce,Photographer's Mate 3rd Class (SEAL),Iraq,2-Jun-04,https://www.navysealfoundation.org/wp-content/uploads/2004/06/Richard-Allen-Bruce.jpg,,,,,,
